ownerUsername,text,post_url
compas.co.id,"📊 Gimana, udah siap nyusun strategi buat setengah tahun terakhir 2025?
Tenang, tim expert Compas.co.id baru aja rilis “Indonesian FMCG E-Commerce Report for 1st Half 2025” report yang bisa bantu kamu ambil keputusan lebih tepat dan berbasis data!

Di laporan ini, kamu bisa temukan:
🛍 Kategori dengan penjualan tertinggi
📈 Perbandingan kekuatan tiap e-commerce
🔍 Persaingan antar brand sepanjang Januari–Juni 2025

📥 Yuk, download dan pelajari reportnya sekarang!
🔗 Klik link di bio

#FMCGIndonesia #EcommerceTrends #MarketInsight #CompasReport #DataDrivenStrategy",https://www.instagram.com/p/DPVutjNEpJp/
compas.co.id,"📊 Gimana, udah siap nyusun strategi buat setengah tahun terakhir 2025?
Tenang, tim expert Compas.co.id baru aja rilis “Indonesian FMCG E-Commerce Report for 1st Half 2025” report yang bisa bantu kamu ambil keputusan lebih tepat dan berbasis data!

Di laporan ini, kamu bisa temukan:
🛍 Kategori dengan penjualan tertinggi
📈 Perbandingan kekuatan tiap e-commerce
🔍 Persaingan antar brand sepanjang Januari–Juni 2025

📥 Yuk, download dan pelajari reportnya sekarang!
🔗 Klik link di bio

#FMCGIndonesia #EcommerceTrends #MarketInsight #CompasReport #DataDrivenStrategy",https://www.instagram.com/p/DPVvCqXkiND/
compas.co.id,"Persaingan Compact Powder di E-Commerce makin ‘Solid’! 🧱✨

Berdasarkan data Compas.co.id periode Januari - Oktober 2025, Shopee memimpin kategori Compact Powder dengan nilai penjualan mencapai 66.2%. Menariknya, 52% dari total transaksi di kategori ini berasal dari Official Store, menunjukkan betapa krusialnya aspek kepercayaan (trust) bagi konsumen saat ini.

Compas.co.id bersama @cnbcindonesia dengan bangga mengumumkan 10 Daftar Nominasi Brand terbaik untuk kategori Compact Powder di ajang EPIC Awards 2026. Brand-brand ini terbukti unggul dalam performa penjualan dan konsistensi di e-commerce.

🏆 Selamat kepada 10 Official Nominees: 

@ohmyglam.indonesia

@wardahbeauty

@inezcosmetics

@makeoverid

@maybelline

@pigeon_teens_indonesia

@glad2glow

@skintificid

@azzuracosmetics.id

@seamakeup.id

⚠️ Apakah brand Kamu salah satunya? Jangan biarkan momentum ini lewat begitu saja! Validasi keberhasilan brand Kamu untuk meningkatkan conversion rate dan kepercayaan konsumen.

👉 Segera klaim “Official Nominee Badge” Kamu! Kirim pesan melalui DM ke @compas.co.id sekarang. Tim expert kami akan segera membantu Kamu memvalidasi data dan menyiapkan badge untuk kebutuhan promosi brand Kamu.

#EPICAwards2026 #CompasMarketInsight #CompactPowder #TopBrandEcommerce #FMCGInsights",https://www.instagram.com/p/DUDMzmmEvBt/
compas.co.id,"Produk bayi makin jadi perhatian di e-commerce termasuk kategori Sunscreen Bayi yang terus tumbuh seiring meningkatnya awareness para orang tua terhadap perlindungan kulit si kecil!

Compas.co.id x @cnbcindonesia resmi mengumumkan 10 daftar nominasi brand terbaik untuk kategori Sunscreen Bayi di ajang EPIC Awards 2026. Para brand ini dinilai berhasil menjaga konsistensi penjualan dan kepercayaan konsumen melalui edukasi dan positioning yang tepat.

📲 Ingin tahu performa penjualan brand kamu di kategori ini? Yuk ngobrol langsung bareng tim expert kami lewat link yang ada di bio!

#EPICAwards2026 #SunscreenBayi #TopBrandEcommerce #CompasMarketInsight #FMCGInsights",https://www.instagram.com/p/DTzwGbwEhbI/
compas.co.id,"Setelah sempat absen, brand lokal ini kembali menempati posisi top 5 hanya dalam satu kuartal. Persaingan di kategori ini makin menarik, terutama karena kontribusi brand lokal yang mulai terlihat signifikan.

📲 Untuk insight lengkapnya, scan barcode di slide terakhir atau kunjungi website kami lewat link di bio, ya!

#CompasMarketInsight #Concealer #BeautyCareInsights #TopBrandEcommerce #EcommerceIndonesia",https://www.instagram.com/p/DTuldT9EsIA/
compas.co.id,"Brand global ini kembali duduki posisi puncak! Di kuartal III 2025, brand global sukses memimpin kategori pelembab wajah. Namun, brand lokal yang sempat unggul di kuartal sebelumnya masih tetap konsisten di posisi top 5. 

Persaingannya makin sengit, siapa yang akan lebih unggul di akhir tahun 2025? Yuk komen di kolom komentar!!

Scan barcode dan diskusi bareng tim expert Compas.co.id untuk tahu performa brand kamu di e-commerce!

 📲 Klik link di bio kami untuk info lebih lanjut!

#TopBrandEcommerce #PelembabWajah #EcommerceIndonesia #CompasMarketInsight",https://www.instagram.com/p/DT9-43uEl3B/
compas.co.id,"Dulu dianggap pelengkap, kini baby lotion berubah jadi bagian penting dari rutinitas harian para orang tua. Tahun 2025, penjualannya tembus Rp626 Miliar dan naik +42% secara jumlah penjualan tanda bahwa kesadaran akan kesehatan kulit bayi makin tinggi di e-commerce. Menariknya lagi, brand yang fokus pada kemasan praktis, formula lembut, dan varian lengkap (ukuran, tekstur, aroma) justru lebih cepat tumbuh.

💡 Penasaran bagaimana strategi brand bisa menangkap peluang ini?

Yuk, Scan barcode dan diskusi bareng tim expert Compas.co.id untuk tahu performa brand kamu di e-commerce!

 📲 Klik link di bio kami untuk info lebih lanjut!

#CompasMarketInsight #BabyCareEcommerce #StrategiBrand #FMCGIndonesia #EcommerceInsight",https://www.instagram.com/p/DT2ZHVcEksl/
compas.co.id,"Konsistensi performa jadi kunci! Brand ini berhasil mempertahankan market share hampir 40% sejak awal tahun di kategori pembersih wajah pria.

Hal ini menandakan kebutuhan perawatan pria yang makin spesifik dan brand yang mampu menjawabnya secara konsisten, jadi kombinasi penting dalam membangun pasar jangka panjang di e-commerce.

📲 Untuk insight lengkapnya, scan barcode di slide terakhir atau kunjungi website kami lewat link di bio, ya!

#CompasMarketInsight #MenCareEcommerce #PembersihWajahPria  #EcommerceIndonesia #TopBrandEcommerce",https://www.instagram.com/p/DTr7GqFEraK/
compas.co.id,"🧴 Parfum pria bukan cuma pelengkap penampilan tapi jadi pendorong utama pertumbuhan kategori parfum di e-commerce 2025

Dengan kontribusi pertumbuhan +70%, segmen ini berhasil melampaui parfum wanita & unisex. Bukan cuma dari sisi jumlah pembelian, tapi juga dari total nilai penjualan dan jumlah unit yang meningkat signifikan menandakan konsumen semakin loyal dan percaya pada produk pilihannya.

💡 Temukan insight lengkap mulai dari tren harga, volume penjualan, hingga performa brand di Compas.co.id 

📲 Scan barcode di slide terakhir atau kunjungi website kami lewat link di bio ya!

#CompasMarketInsight #ParfumPria #EcommerceIndonesia #StrategiBrand #FMCGInsights",https://www.instagram.com/p/DTkZEB6EuY5/
compas.co.id,"Brand global ini kembali bertahan di posisi teratas kategori eyeshadow sejak awal tahun di Shopee pada Q3 2025, dengan selisih market share hingga 3x dari pesaing terdekat.

Sementara itu, pergerakan brand lain di jajaran Top 10 menunjukkan persaingan yang makin dinamis.

Cek data lengkap di postingan ini & kunjungi link di bio untuk kategori lainnya.
Yuk diskusi di kolom komentar 💬👇

#CompasMarketInsight #TopBrand #DataEcommerce #Eyeshadow",https://www.instagram.com/p/DTZ67ZOkkxX/
