"text","postUrl","replies/0/id","replies/0/likesCount","replies/0/owner/fbid_v2","replies/0/owner/full_name","replies/0/owner/has_onboarded_to_text_post_app","replies/0/owner/id","replies/0/owner/is_mentionable","replies/0/owner/is_private","replies/0/owner/is_verified","replies/0/owner/latest_reel_media","replies/0/owner/profile_pic_id","replies/0/owner/profile_pic_url","replies/0/owner/username","replies/0/ownerProfilePicUrl","replies/0/ownerUsername","replies/0/repliesCount","replies/0/text","replies/0/timestamp"
"Wow can you send me this creation.","https://www.instagram.com/p/DTab3bwgakC/",,,,,,,,,,,,,,,,,,
"Nice aiart can you send me 😍","https://www.instagram.com/p/DTab3bwgakC/",,,,,,,,,,,,,,,,,,
"💚💚","https://www.instagram.com/p/DN2n5uYwh6i/","18078413110768135","0","17841457314328797","BeData Technology Indonesia","false","57270382477","true","false","false","1769595712","3083453924167457880","https://scontent-iad3-1.cdninstagram.com/v/t51.2885-19/341533954_562034446018561_4145375926810957753_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_cat=101&ig_cache_key=GAJlWxQBqIHXKv8BALnXBTpxVYc5bkULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy43NjMuQzMifQ%3D%3D&_nc_ohc=v_PFUab_yhAQ7kNvwH-MWX9&_nc_oc=AdmSjlSx1wMfqaKzRR6UlYLdj98wDDZB_u-_WoJwiN6Kj-9zRHKwHsx1OQiQQJkL7No&_nc_ad=z-m&_nc_cid=0&_nc_zt=24&_nc_ht=scontent-iad3-1.cdninstagram.com&oh=00_AfrlbMZUsxYfUfouqFqDNP_fV5Vx2kXfFR1xn-46LfewBw&oe=6980D195","bedata.id","https://scontent-iad3-1.cdninstagram.com/v/t51.2885-19/341533954_562034446018561_4145375926810957753_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_cat=101&ig_cache_key=GAJlWxQBqIHXKv8BALnXBTpxVYc5bkULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy43NjMuQzMifQ%3D%3D&_nc_ohc=v_PFUab_yhAQ7kNvwH-MWX9&_nc_oc=AdmSjlSx1wMfqaKzRR6UlYLdj98wDDZB_u-_WoJwiN6Kj-9zRHKwHsx1OQiQQJkL7No&_nc_ad=z-m&_nc_cid=0&_nc_zt=24&_nc_ht=scontent-iad3-1.cdninstagram.com&oh=00_AfrlbMZUsxYfUfouqFqDNP_fV5Vx2kXfFR1xn-46LfewBw&oe=6980D195","bedata.id","0","@ichchaa.a ❤️❤️","2025-08-27T10:09:54.000Z"
"Keren keren bro 🔥 keep support","https://www.instagram.com/p/DN2n5uYwh6i/","17848785735544512","0","17841457314328797","BeData Technology Indonesia","false","57270382477","true","false","false","1769595712","3083453924167457880","https://scontent-iad3-1.cdninstagram.com/v/t51.2885-19/341533954_562034446018561_4145375926810957753_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_cat=101&ig_cache_key=GAJlWxQBqIHXKv8BALnXBTpxVYc5bkULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy43NjMuQzMifQ%3D%3D&_nc_ohc=v_PFUab_yhAQ7kNvwH-MWX9&_nc_oc=AdmSjlSx1wMfqaKzRR6UlYLdj98wDDZB_u-_WoJwiN6Kj-9zRHKwHsx1OQiQQJkL7No&_nc_ad=z-m&_nc_cid=0&_nc_zt=24&_nc_ht=scontent-iad3-1.cdninstagram.com&oh=00_AfrlbMZUsxYfUfouqFqDNP_fV5Vx2kXfFR1xn-46LfewBw&oe=6980D195","bedata.id","https://scontent-iad3-1.cdninstagram.com/v/t51.2885-19/341533954_562034446018561_4145375926810957753_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_cat=101&ig_cache_key=GAJlWxQBqIHXKv8BALnXBTpxVYc5bkULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy43NjMuQzMifQ%3D%3D&_nc_ohc=v_PFUab_yhAQ7kNvwH-MWX9&_nc_oc=AdmSjlSx1wMfqaKzRR6UlYLdj98wDDZB_u-_WoJwiN6Kj-9zRHKwHsx1OQiQQJkL7No&_nc_ad=z-m&_nc_cid=0&_nc_zt=24&_nc_ht=scontent-iad3-1.cdninstagram.com&oh=00_AfrlbMZUsxYfUfouqFqDNP_fV5Vx2kXfFR1xn-46LfewBw&oe=6980D195","bedata.id","0","@ibang.eth Terimakasih Pak Louiz 🙏☺️","2025-08-28T05:44:20.000Z"
"Sukses selalu.. Dan bermanfaat.. Aamiin","https://www.instagram.com/p/DN2n5uYwh6i/",,,,,,,,,,,,,,,,,,
"Math ❤️","https://www.instagram.com/p/DRMqOBIgfBR/",,,,,,,,,,,,,,,,,,
"KEREEEN POOLL BESTIEE🔥🔥","https://www.instagram.com/p/DPLz6eMAWkw/",,,,,,,,,,,,,,,,,,
"Keren kali lohh✨️✨️😍","https://www.instagram.com/p/DPLz6eMAWkw/",,,,,,,,,,,,,,,,,,
"Andalangggg iniiii🔥🙌","https://www.instagram.com/p/DPLz6eMAWkw/",,,,,,,,,,,,,,,,,,
"😍😍😍","https://www.instagram.com/p/DPLz6eMAWkw/",,,,,,,,,,,,,,,,,,
