"text","postUrl","replies/0/id","replies/0/likesCount","replies/0/owner/fbid_v2","replies/0/owner/full_name","replies/0/owner/has_onboarded_to_text_post_app","replies/0/owner/id","replies/0/owner/is_mentionable","replies/0/owner/is_private","replies/0/owner/is_verified","replies/0/owner/latest_reel_media","replies/0/owner/profile_pic_id","replies/0/owner/profile_pic_url","replies/0/owner/username","replies/0/ownerProfilePicUrl","replies/0/ownerUsername","replies/0/repliesCount","replies/0/text","replies/0/timestamp"
"@mars.shaa","https://www.instagram.com/p/DScXOsbknyJ/",,,,,,,,,,,,,,,,,,
"❤️❤️❤️❤️❤️❤️","https://www.instagram.com/p/DM967zAySj9/",,,,,,,,,,,,,,,,,,
"ajuuu naiseu!!! @neogendermalogy.id","https://www.instagram.com/p/DM967zAySj9/",,,,,,,,,,,,,,,,,,
"@neogendermalogy.id 🙌🙌🙌🙌","https://www.instagram.com/p/DM967zAySj9/",,,,,,,,,,,,,,,,,,
"🩵🩵🩵","https://www.instagram.com/p/DM967zAySj9/",,,,,,,,,,,,,,,,,,
"Whoopsss ❤️","https://www.instagram.com/p/DM967zAySj9/",,,,,,,,,,,,,,,,,,
"@officialhanasui menyala wi🔥","https://www.instagram.com/p/DSKMdOLktok/",,,,,,,,,,,,,,,,,,
"@blpbeauty pastikan stock selalu aman yessss","https://www.instagram.com/p/DM7bXlayZks/",,,,,,,,,,,,,,,,,,
"Keren dah selalu! @blpbeauty","https://www.instagram.com/p/DM7bXlayZks/",,,,,,,,,,,,,,,,,,
"❤️❤️❤️","https://www.instagram.com/p/DNXr31pyB0w/",,,,,,,,,,,,,,,,,,
"white inc emng best bngtt sih😍🔥 @whiteinc_id","https://www.instagram.com/p/DSRwEfJkr4K/",,,,,,,,,,,,,,,,,,
"Sukses white inc kerennn bangettt 🔥","https://www.instagram.com/p/DSRwEfJkr4K/",,,,,,,,,,,,,,,,,,
"Yookkk white ink yok bisa 😍","https://www.instagram.com/p/DSRwEfJkr4K/",,,,,,,,,,,,,,,,,,
"Kereenn banget @whiteinc_id 😍😍😍","https://www.instagram.com/p/DSRwEfJkr4K/",,,,,,,,,,,,,,,,,,
"white inc baguss bangett aku lagi pake","https://www.instagram.com/p/DSRwEfJkr4K/",,,,,,,,,,,,,,,,,,
"Keren banget @whiteinc_id 👏🔥🩷🩷","https://www.instagram.com/p/DSRwEfJkr4K/",,,,,,,,,,,,,,,,,,
"Pokoknya love bgt sama produk white Inc","https://www.instagram.com/p/DSRwEfJkr4K/",,,,,,,,,,,,,,,,,,
"White inc the best 🔥❤️","https://www.instagram.com/p/DSRwEfJkr4K/",,,,,,,,,,,,,,,,,,
"semoga semakin sukses white inc ❤️🙌","https://www.instagram.com/p/DSRwEfJkr4K/",,,,,,,,,,,,,,,,,,
"white inc emang sebagus itu sihhh😍","https://www.instagram.com/p/DSRwEfJkr4K/",,,,,,,,,,,,,,,,,,
"Wawww White inc kerennn banget sih naik signifikan semoga konsisten, Marina sama Vaseline juga bagus banget sih aku suka, ketiganya bagus bagus banget, 3 produk yg suka aku pake white inc, Marina and Vaseline emang bagus bagus banget sih recommended pokonya, semuanya bagus sampe bingung milih, jadi Klo pake sesuai mood deh, tapi yg lain juga ngk kalah bagus, citra Purbasari juga bagus, bagus bagus sih semuanya kerennnnnn, sukses semuanya 🔥🔥🔥","https://www.instagram.com/p/DSRwEfJkr4K/",,,,,,,,,,,,,,,,,,
"Wawwwwwww white inc 🔥🔥🔥🔥💚","https://www.instagram.com/p/DSRwEfJkr4K/",,,,,,,,,,,,,,,,,,
"@whiteinc_id 👏👏","https://www.instagram.com/p/DSRwEfJkr4K/",,,,,,,,,,,,,,,,,,
"congrats @whiteinc_id","https://www.instagram.com/p/DSRwEfJkr4K/",,,,,,,,,,,,,,,,,,
"White inc❤️🔥","https://www.instagram.com/p/DSRwEfJkr4K/",,,,,,,,,,,,,,,,,,
"WAH congratulations @moell.id brand baru tp bs nyalip para brand legend 👏👏👏","https://www.instagram.com/p/DNkj0vxyJnT/",,,,,,,,,,,,,,,,,,
"Keren banget @moell_healthybabyclub @moell.id 😍😍😍","https://www.instagram.com/p/DNkj0vxyJnT/",,,,,,,,,,,,,,,,,,
"🙌🙌","https://www.instagram.com/p/DNkj0vxyJnT/",,,,,,,,,,,,,,,,,,
"@moell.id  sangat sangat best pokoknya....🤎🤎🤎🤎🤎 Maju terus moell untuk anak Indonesia ❤️","https://www.instagram.com/p/DNkj0vxyJnT/",,,,,,,,,,,,,,,,,,
"Yeee @moell.id emang best banget 😍","https://www.instagram.com/p/DNkj0vxyJnT/",,,,,,,,,,,,,,,,,,
"🔥🔥👏","https://www.instagram.com/p/DNkj0vxyJnT/",,,,,,,,,,,,,,,,,,
"Tencu sudah menemani tumbuh kembang anakku Moell 😍❤️","https://www.instagram.com/p/DNkj0vxyJnT/",,,,,,,,,,,,,,,,,,
"Termoell moell😍🤎🤎🤎🫶🏻 @moell.id","https://www.instagram.com/p/DNkj0vxyJnT/",,,,,,,,,,,,,,,,,,
"@expertcare.id 😍😍","https://www.instagram.com/p/DNkj0vxyJnT/",,,,,,,,,,,,,,,,,,
"@moell.id skincare andalan anakku nih 😍😍 cocok banget mulai dr shampoo, hair lotion, sepaket dr ujung rambut sampai kulit 😍","https://www.instagram.com/p/DNkj0vxyJnT/",,,,,,,,,,,,,,,,,,
"Skincare @moell.id favorit anak aku😍","https://www.instagram.com/p/DNkj0vxyJnT/",,,,,,,,,,,,,,,,,,
"Moell emang sekeren itu","https://www.instagram.com/p/DNkj0vxyJnT/",,,,,,,,,,,,,,,,,,
"@moell.id","https://www.instagram.com/p/DNkj0vxyJnT/",,,,,,,,,,,,,,,,,,
"makasih smua ibu2 untuk kepercayaanya","https://www.instagram.com/p/DNkj0vxyJnT/",,,,,,,,,,,,,,,,,,
"🐝🐝🐝 semangat @beeme.official keren banget bisa bareng2 brand besar lainnya. terimakasih supportnya buibu sudah sedia Beeme sebagai pelengkap skincare andalan keluarga.","https://www.instagram.com/p/DNkj0vxyJnT/",,,,,,,,,,,,,,,,,,
"Dr LSW itu aja produk non bpom?? Bukan local brand juga","https://www.instagram.com/p/DMpViQLy8mU/",,,,,,,,,,,,,,,,,,
"coolvita itu RRC bukan local brand🤭 @compas.co.id","https://www.instagram.com/p/DMpViQLy8mU/",,,,,,,,,,,,,,,,,,
"Thankyou for featuring us! 🧡🧡","https://www.instagram.com/p/DS7A_F7Eubn/",,,,,,,,,,,,,,,,,,
"masyaAllah @camille.beauty @nadshavv 😍❤️🔥","https://www.instagram.com/p/DN701ppEo8W/",,,,,,,,,,,,,,,,,,
"@pratista.official  wahh congrats aku pecinta facemist mu😭❤️hhuuu seneng bgt brand yg ku pake jdi brand terbaik no 1😍","https://www.instagram.com/p/DN701ppEo8W/",,,,,,,,,,,,,,,,,,
"wihhh keren mamiyaa congratss @nadshavv 😍😍","https://www.instagram.com/p/DN701ppEo8W/",,,,,,,,,,,,,,,,,,
"@thisisyour.id @adelineweener kak congratss ikutan seneng liatnya masuk top list❤️","https://www.instagram.com/p/DN701ppEo8W/",,,,,,,,,,,,,,,,,,
"Hii ada @camille.beauty selamat mamiya🔥🙌❤️😍 @nadshavv  banggaa😍","https://www.instagram.com/p/DN701ppEo8W/",,,,,,,,,,,,,,,,,,
"Keren bgt mamiyaaaaa😍 @nadshavv @camille.beauty","https://www.instagram.com/p/DN701ppEo8W/",,,,,,,,,,,,,,,,,,
"alhamdulillah 🥺💖 @pratista.official","https://www.instagram.com/p/DN701ppEo8W/",,,,,,,,,,,,,,,,,,
"pratistaaaaaaa😍😍😍","https://www.instagram.com/p/DN701ppEo8W/",,,,,,,,,,,,,,,,,,
"Congrats Avene @eauthermaleaveneid ❤️❤️","https://www.instagram.com/p/DN701ppEo8W/",,,,,,,,,,,,,,,,,,
"@nadshavv selamat mamiyaa,makin laris manis yah❤️","https://www.instagram.com/p/DN701ppEo8W/",,,,,,,,,,,,,,,,,,
"Congrats mamiyaaa kesayangan😍😍 @nadshavv","https://www.instagram.com/p/DN701ppEo8W/",,,,,,,,,,,,,,,,,,
"@pratista.official akhirnyaa facemist kecintaan jadiiii no 1 best banget emang😍","https://www.instagram.com/p/DN701ppEo8W/",,,,,,,,,,,,,,,,,,
"ikut happy, keren bgt sumpilllll @thisisyour.id","https://www.instagram.com/p/DN701ppEo8W/",,,,,,,,,,,,,,,,,,
"ikt hppy , keren bgt sumpahh @pratista.official","https://www.instagram.com/p/DN701ppEo8W/",,,,,,,,,,,,,,,,,,
"masyaallah alhamdulillahh minstaaa🥹🤍 @pratista.official","https://www.instagram.com/p/DN701ppEo8W/",,,,,,,,,,,,,,,,,,
"Tim @expertcare.id 🔥😍💜","https://www.instagram.com/p/DSXAkx2EjAj/",,,,,,,,,,,,,,,,,,
"Alhamdulillah dermathib emang keren abizzz🔥","https://www.instagram.com/p/DR1jsZxkpmB/",,,,,,,,,,,,,,,,,,
"wiiih ukhtiy🙌","https://www.instagram.com/p/DR1jsZxkpmB/",,,,,,,,,,,,,,,,,,
"sukses terus Ukhtiy, Congrats!😍","https://www.instagram.com/p/DR1jsZxkpmB/",,,,,,,,,,,,,,,,,,
"ukhtiy memang bestt🙌🔥","https://www.instagram.com/p/DR1jsZxkpmB/",,,,,,,,,,,,,,,,,,
"dermathib emang keren bgt!! ❤️","https://www.instagram.com/p/DR1jsZxkpmB/",,,,,,,,,,,,,,,,,,
"suksesss terus ukhtiy!😍🔥","https://www.instagram.com/p/DR1jsZxkpmB/",,,,,,,,,,,,,,,,,,
"ukhtiyy tambah mantapp nih🔥","https://www.instagram.com/p/DR1jsZxkpmB/",,,,,,,,,,,,,,,,,,
"ukhtiy kerennn 🥰","https://www.instagram.com/p/DR1jsZxkpmB/",,,,,,,,,,,,,,,,,,
"wah ukhtiy mantappp😍😍😍","https://www.instagram.com/p/DR1jsZxkpmB/",,,,,,,,,,,,,,,,,,
"Dermathib pancen uapik pol jos tenan👏☺️","https://www.instagram.com/p/DR1jsZxkpmB/",,,,,,,,,,,,,,,,,,
"Sukses terus Ukhtiy!!😍😍","https://www.instagram.com/p/DR1jsZxkpmB/",,,,,,,,,,,,,,,,,,
"ukhtiy 🙌","https://www.instagram.com/p/DR1jsZxkpmB/",,,,,,,,,,,,,,,,,,
"ukhtiy kolagen keren polll🙌❤️","https://www.instagram.com/p/DR1jsZxkpmB/",,,,,,,,,,,,,,,,,,
"ukhtiy kerenn!😍","https://www.instagram.com/p/DR1jsZxkpmB/",,,,,,,,,,,,,,,,,,
"Dermathib paling best sih👏","https://www.instagram.com/p/DR1jsZxkpmB/",,,,,,,,,,,,,,,,,,
"❤️🙌","https://www.instagram.com/p/DQq2f5QksrS/",,,,,,,,,,,,,,,,,,
"elformula sama madame gie brand prc","https://www.instagram.com/p/DRJsfL4Eo-4/",,,,,,,,,,,,,,,,,,
"@vectorlabsofficial 😍😍😍🔥","https://www.instagram.com/p/DRy7V3JElWQ/",,,,,,,,,,,,,,,,,,
"Omg🔥","https://www.instagram.com/p/DR_z1NgkjcV/",,,,,,,,,,,,,,,,,,
"Wardahku😍","https://www.instagram.com/p/DR_z1NgkjcV/",,,,,,,,,,,,,,,,,,
"Ni kak @airacomel14","https://www.instagram.com/p/DR_z1NgkjcV/",,,,,,,,,,,,,,,,,,
"Mashaa Allah @paragoncorp 👏","https://www.instagram.com/p/DR_z1NgkjcV/",,,,,,,,,,,,,,,,,,
"@vitamindiskon #pastiasli","https://www.instagram.com/p/DR4I63mEozx/",,,,,,,,,,,,,,,,,,
"Wihh keren jugaa @spencersindonesia","https://www.instagram.com/p/DNNXyffy8hV/",,,,,,,,,,,,,,,,,,
