"text","postUrl","replies/0/id","replies/0/likesCount","replies/0/owner/fbid_v2","replies/0/owner/full_name","replies/0/owner/has_onboarded_to_text_post_app","replies/0/owner/id","replies/0/owner/is_mentionable","replies/0/owner/is_private","replies/0/owner/is_verified","replies/0/owner/latest_reel_media","replies/0/owner/profile_pic_id","replies/0/owner/profile_pic_url","replies/0/owner/username","replies/0/ownerProfilePicUrl","replies/0/ownerUsername","replies/0/repliesCount","replies/0/text","replies/0/timestamp"
"@indonesia.kara pasti masuk😍","https://www.instagram.com/p/DGxgF3hyqyr/",,,,,,,,,,,,,,,,,,
"Mantap 👏👏👏","https://www.instagram.com/p/DQ_W5ppkpRf/",,,,,,,,,,,,,,,,,,
"🙌🏻","https://www.instagram.com/p/DQbmU6BkpMp/",,,,,,,,,,,,,,,,,,
"Parfum vialnya di TSM masih bisa tuker kak?","https://www.instagram.com/p/DMXLDHxyOoj/",,,,,,,,,,,,,,,,,,
"😍😍😍","https://www.instagram.com/p/DLox4WCSve0/",,,,,,,,,,,,,,,,,,
"nabung iya, belanja iya!!","https://www.instagram.com/p/DHfCXV-oXBc/",,,,,,,,,,,,,,,,,,
"Operator memiliki lebih dari satu produk tapi apakah sinyal jaringan memiliki skala pemancar yang sama? Kan berbeda produk dan varian paket yang berbeda pula, mungkin skala sinyal jaringannya juga berbeda ya, misal saja XLSmart punya 3 produk dengan varian paket berbeda tapi mungkin antara XL, Axis dan Smartfren juga punya pemancar sinyal jaringan masing masing alias berbeda dengan skala yang berbeda pula di tiap produknya, tapi ya satu jaringan operator milik XLSMART, begitu pula operator lain juga seperti Telkomsel punya Simpati dan by.U lalu Indosat punya IM3 dan Tri, itu produk prabayarnya. Mungkin akan sama jika pemancar sinyal jaringannya disatukan. @xlsmart  @indosat  @telkomsel","https://www.instagram.com/p/DKeklcQSMIH/",,,,,,,,,,,,,,,,,,
"Telkomsel milik Telkom juga kan ya","https://www.instagram.com/p/DKeklcQSMIH/",,,,,,,,,,,,,,,,,,
"Udah bukan Hal baru ya,Dari tahun tahun lalu emang banyak yang promosi pabrik mereka emang pegang brand brand gede","https://www.instagram.com/p/DIfbjouyg2T/",,,,,,,,,,,,,,,,,,
"yang paling bikin kagum mereka bilang ""beli disini aja, tas kamu yg mahal itu bikinnya disini semua"" 🤣🤣","https://www.instagram.com/p/DIfbjouyg2T/",,,,,,,,,,,,,,,,,,
"keren! banyakin postingan teknologi yg lainnya juga dong min!","https://www.instagram.com/p/DFuddO4ykXZ/",,,,,,,,,,,,,,,,,,
"👏👏👏","https://www.instagram.com/p/DFHFv4MSU4o/",,,,,,,,,,,,,,,,,,
"bahas research technology juga dong!","https://www.instagram.com/p/DFHFv4MSU4o/",,,,,,,,,,,,,,,,,,
"🥳","https://www.instagram.com/p/DFHFv4MSU4o/",,,,,,,,,,,,,,,,,,
