"text","postUrl","replies/0/id","replies/0/likesCount","replies/0/owner/fbid_v2","replies/0/owner/full_name","replies/0/owner/has_onboarded_to_text_post_app","replies/0/owner/id","replies/0/owner/is_mentionable","replies/0/owner/is_private","replies/0/owner/is_verified","replies/0/owner/latest_reel_media","replies/0/owner/profile_pic_id","replies/0/owner/profile_pic_url","replies/0/owner/username","replies/0/ownerProfilePicUrl","replies/0/ownerUsername","replies/0/repliesCount","replies/0/text","replies/0/timestamp"
"Selamat siang min ,izin mengingatkan kembali. Agar segera gerak cepat dalam pembuatan Reksadana indeks infovesta28. Krn sudah hampir 1 th dari sejak peluncurannya, masih belum ada Reksadana indeks nya. Semoga di tahun 2025 ini sudah ada Reksadana indeks infovesta28 nya ya min.","https://www.instagram.com/p/DPD1MgCEvQj/",,,,,,,,,,,,,,,,,,
"👏👏👏","https://www.instagram.com/p/DPD1MgCEvQj/",,,,,,,,,,,,,,,,,,
"Semangat belajar yang luar biasa 👍🏼","https://www.instagram.com/p/DPD1MgCEvQj/",,,,,,,,,,,,,,,,,,
"Aku kira Schroeder itu besar eh ternyata nggak","https://www.instagram.com/p/DRyYCn9EiAz/",,,,,,,,,,,,,,,,,,
"Halo selamat pagi min, semoga infovesta dgn segera meluncur kan Reksadana indeks infovesta28 ya min dan dipasarkan di aplikasi BIBIT. Semoga tahun 2025 ini sudah ada Reksadana indeksnya.","https://www.instagram.com/p/DETnmUfyvI3/",,,,,,,,,,,,,,,,,,
"Selamat sore min izin kasih saran. Kalau bisa utk infovesta28, bikin Reksadana indeksnya aja ya min, ga usah ETF. Karena ETF ga likuid min 🙏","https://www.instagram.com/p/DA46eA-Pg4X/",,,,,,,,,,,,,,,,,,
"Baik pak 🙏","https://www.instagram.com/p/DA46eA-Pg4X/",,,,,,,,,,,,,,,,,,
"Sampaikan sama pak Wawan hendrayana ya min agar segera dibuat Reksadana indeks infovesta28 min🙏","https://www.instagram.com/p/DA46eA-Pg4X/",,,,,,,,,,,,,,,,,,
"Selamat siang min, cuman sekedar mengingatkan kembali agar secepatnya org Mimin sampaikan ke para manajer investasi untuk segera meluncurkan Reksadana indeks infovesta28 di tahun 2025 ini ya min. Soalnya saya sudah pengen bgt investasi di indeks infovesta28 ini, Krn indeksnya sangat unik dibanding indeks yg lain . Semoga sukses ya min.","https://www.instagram.com/p/DKb5fSMy6jY/",,,,,,,,,,,,,,,,,,
"Ingatkan selalu ke bpk parto kawito dan Wawan hendrayana agar segera diluncurkan Reksadana indeks infovesta28 nya di tahun 2025 ini ya min. Semoga segera terealisasi di tahun ini. Semoga sukses","https://www.instagram.com/p/DKb5fSMy6jY/",,,,,,,,,,,,,,,,,,
"Mantul om Wawan n om Syarif👏👏👏","https://www.instagram.com/p/C6--EWCvmb8/",,,,,,,,,,,,,,,,,,
"Selamat siang min. Semoga di hari natal ini, infovesta dgn secepatnya meluncurkan produk Reksadana Indeks Infovesta28 dan dipasarkan di aplikasi BIBIT. Semoga awal tahun depan sudah ada ya min 🙏👍","https://www.instagram.com/p/DD_MorMPYDa/",,,,,,,,,,,,,,,,,,
"Selamat siang min ,izin mengingatkan kembali. Agar segera gerak cepat dalam pembuatan Reksadana indeks infovesta28. Krn sudah hampir 1 th dari sejak peluncurannya, masih belum ada Reksadana indeks nya. Semoga di tahun 2025 ini sudah ada Reksadana indeks infovesta28 nya ya min.","https://www.instagram.com/p/DOxv044kuHO/",,,,,,,,,,,,,,,,,,
"Selamat siang min ,izin mengingatkan kembali. Agar segera gerak cepat dalam pembuatan Reksadana indeks infovesta28. Krn sudah hampir 1 th dari sejak peluncurannya, masih belum ada Reksadana indeks nya. Semoga di tahun 2025 ini sudah ada Reksadana indeks infovesta28 nya ya min.","https://www.instagram.com/p/DPQ484jEmch/",,,,,,,,,,,,,,,,,,
"Selamat siang min, izin mengingatkan kembali agar Mimin memberitahukan kepada para manajer investasi, bpk  parto kawito dan Bpk Wawan hendrayana agar segera gerak cepat dlm pembuatan Reksadana indeks infovesta28 nya ya. Mudah2an tahun 2025 ini sudah ada Reksadana indeksnya ya. Klw bisa jangan versi ETF Krn ETF saat ini di Indonesia belum likuid. Terimakasih atas perhatian nya min. 🙏","https://www.instagram.com/p/DAArQsoPWrp/",,,,,,,,,,,,,,,,,,
"Selamat sore min izin kasih saran. Kalau bisa utk infovesta28, bikin Reksadana indeksnya aja ya min, ga usah ETF. Karena ETF ga likuid min 🙏","https://www.instagram.com/p/DAArQsoPWrp/",,,,,,,,,,,,,,,,,,
"Selamat siang min ,izin mengingatkan kembali. Agar segera gerak cepat dalam pembuatan Reksadana indeks infovesta28. Krn sudah hampir 1 th dari sejak peluncurannya, masih belum ada Reksadana indeks nya. Semoga di tahun 2025 ini sudah ada Reksadana indeks infovesta28 nya ya min.","https://www.instagram.com/p/DPQrnb3krAH/",,,,,,,,,,,,,,,,,,
"Sukses ya 🔥🔥","https://www.instagram.com/p/DPQrnb3krAH/",,,,,,,,,,,,,,,,,,
"Wah master semua nih 👏👏","https://www.instagram.com/p/DPQrnb3krAH/",,,,,,,,,,,,,,,,,,
"Halo selamat pagi min, semoga infovesta dgn segera meluncur kan Reksadana indeks infovesta28 ya min dan dipasarkan di aplikasi BIBIT. Semoga tahun 2025 ini sudah ada Reksadana indeksnya.","https://www.instagram.com/p/DEwY8s4SdYe/",,,,,,,,,,,,,,,,,,
"Selamat sore min izin kasih saran. Kalau bisa utk infovesta28, bikin Reksadana indeksnya aja ya min, ga usah ETF. Karena ETF ga likuid min 🙏","https://www.instagram.com/p/DAX_GlJv_Zk/",,,,,,,,,,,,,,,,,,
"Mantap min. Pas momen momen begini Mimin sampaikan ke para manajer investasi agar segera dibuat Reksadana indeks idxvesta28 hehe","https://www.instagram.com/p/DAX_GlJv_Zk/",,,,,,,,,,,,,,,,,,
