"text","postUrl","replies"
"Selamat ulang tahun ke-13, Poltracking Indonesia! Suasana Family Gathering ini benar-benar terasa hangat dan penuh kebersamaan. Semoga Poltracking semakin solid, akurat, dan terus menjadi lembaga riset yang kredibel di bawah kepemimpinan Pak Hanta","https://www.instagram.com/p/DOTa25tEcx3/",
"Tasyakuran & family gathering bikin suasana makin hangat.","https://www.instagram.com/p/DOTa25tEcx3/",
"Selamat milad  Abah H hanta Yuda rasyid barakallah FII umrik ,milad Mubarak yaumul milad","https://www.instagram.com/p/DOTa25tEcx3/",
"Menarik utk ditunggu hasil evaluasi dari POLTRACKING hasil kerja presiden-wakil presiden RI selama setahun pertama.. semoga hasil evaluasi nya sesuai fakta yg dirasakan masyarakat, semoga konsisten dan objektif","https://www.instagram.com/p/DP-qqu3EaDN/",
"Menarik nih, pengin tahu hasil evaluasi setahun pemerintahan menurut Poltracking.","https://www.instagram.com/p/DP-qqu3EaDN/",
"Menarik nih, sekelas survei Poltracking Indonesia yang patut ditunggu","https://www.instagram.com/p/DP-qqu3EaDN/",
"🇲🇨🇲🇨🇲🇨🇲🇨","https://www.instagram.com/p/DP-qqu3EaDN/",
"Penasaran banget nunggu hasil evaluasi setahun ini. Poltracking memang konsisten dan objektif, jadi menarik lihat apa temuan mereka nanti.","https://www.instagram.com/p/DP-qqu3EaDN/",
"Penasaran sama hasil evaluasi dari Poltracking semoga aja hasilnya memuaskan🔥","https://www.instagram.com/p/DP-qqu3EaDN/",
"Ga sabar pengen nonton hasil evaluasi dari Poltracking satu tahun pemerintah prabowo dan gibran rakabuming","https://www.instagram.com/p/DP-qqu3EaDN/",
"Terima kasih Poltracking, selalu objektif pantau kinerja pemerintahan.","https://www.instagram.com/p/DP-qqu3EaDN/",
"Salut untuk Poltracking yang selalu menjaga objektivitas dan integritas dalam setiap risetnya. Laporan dan analisisnya selalu berbasis data, menjadi referensi penting bagi publik dalam menilai kinerja pemerintahan. 👏📊","https://www.instagram.com/p/DP-qqu3EaDN/",
"Salut buat Poltracking yang selalu konsisten memantau pemerintahan secara obyektif, jadi makin penasaran sama hasil surveinya.","https://www.instagram.com/p/DP-qqu3EaDN/",
"Semoga hasil evaluasi setahun Pemerintah dari Poltracking sesuai harapan dan objektif","https://www.instagram.com/p/DP-qqu3EaDN/",
"😍😍","https://www.instagram.com/p/DP-qqu3EaDN/",
"Terbaik🔥🔥","https://www.instagram.com/p/DC6yM1VvQ0b/",
"Ayo #Poltracking tunjukkan kamu paling presisi dibanding sebelah.. #PoltrackingMenyala","https://www.instagram.com/p/DC6yM1VvQ0b/",
"Poltracking Indonesia! 🇮🇩","https://www.instagram.com/p/DC6yM1VvQ0b/",
"@psi_id makin ngeri...bisa kalahkan @partaiperindo","https://www.instagram.com/p/C3pFJcfPlax/",
"Gerindra 🔥🙌","https://www.instagram.com/p/C3pFJcfPlax/",
"Quick count dibilang curang pak, padahal kita bekerja dengan jujur dengan hati yang tulus😭😭","https://www.instagram.com/p/C3ZMBDPPJ7F/",
"🔥🔥🔥","https://www.instagram.com/p/C3ZMBDPPJ7F/",
"Masyaallah Tabarakallah","https://www.instagram.com/p/DR_sv-3EaMB/",
"#prayforsumatra","https://www.instagram.com/p/DR_sv-3EaMB/",
