"text","postUrl","replies/0/id","replies/0/likesCount","replies/0/owner/fbid_v2","replies/0/owner/full_name","replies/0/owner/has_onboarded_to_text_post_app","replies/0/owner/id","replies/0/owner/is_mentionable","replies/0/owner/is_private","replies/0/owner/is_verified","replies/0/owner/latest_reel_media","replies/0/owner/profile_pic_id","replies/0/owner/profile_pic_url","replies/0/owner/username","replies/0/ownerProfilePicUrl","replies/0/ownerUsername","replies/0/repliesCount","replies/0/text","replies/0/timestamp"
"Tolong cek dm ya min🙏🏻","https://www.instagram.com/p/DRMWe9PksRv/",,,,,,,,,,,,,,,,,,
"Bagi Kode referral","https://www.instagram.com/p/DSXEZ4TkdY-/",,,,,,,,,,,,,,,,,,
"Judulnya mengejar badai 😂","https://www.instagram.com/p/DQ_hWsFkvzJ/",,,,,,,,,,,,,,,,,,
"min yang terakhir badannya gabisa diem kenapa ya?","https://www.instagram.com/p/DQ_hWsFkvzJ/",,,,,,,,,,,,,,,,,,
"🔥🔥🔥","https://www.instagram.com/p/DRecoKHknJl/",,,,,,,,,,,,,,,,,,
"🔥","https://www.instagram.com/p/DRecoKHknJl/",,,,,,,,,,,,,,,,,,
"Send me this post","https://www.instagram.com/p/DTw5Pqukp_L/",,,,,,,,,,,,,,,,,,
"Send me this post","https://www.instagram.com/p/DTw5Pqukp_L/",,,,,,,,,,,,,,,,,,
"Send me this post 💞","https://www.instagram.com/p/DTw5Pqukp_L/",,,,,,,,,,,,,,,,,,
"🔥🔥","https://www.instagram.com/p/DRTnHE4kk_H/",,,,,,,,,,,,,,,,,,
"MaasyaaAllah..keren @indahtanip","https://www.instagram.com/p/DRTnHE4kk_H/",,,,,,,,,,,,,,,,,,
"Thank you Populix for the opportunity! Such a delight to be able to work with you. 👏","https://www.instagram.com/p/DRg_oxgEi7x/",,,,,,,,,,,,,,,,,,
"Thank you, Populix team! It was a pleasure to collaborate with you on your grand event 🙌","https://www.instagram.com/p/DSUAIpKktLt/",,,,,,,,,,,,,,,,,,
"admin tolong restock barang, udah bertahun² poin ga bisa dituker karna barangnya habis","https://www.instagram.com/p/DRmO75GEm0N/",,,,,,,,,,,,,,,,,,
"🔥🔥🔥","https://www.instagram.com/p/DQ6b9sBEjkq/",,,,,,,,,,,,,,,,,,
"Whats wrong with giving a high five?","https://www.instagram.com/p/DUAo7ykEhfw/",,,,,,,,,,,,,,,,,,
"Vivi @vivi_zabkie dan Populix selalu dahsyat..keren","https://www.instagram.com/p/DRb5gXMkiLJ/",,,,,,,,,,,,,,,,,,
"Poin udah banyak tapi hadiah tidak ada yang tersedia @populix.co","https://www.instagram.com/p/DQbLPJvkhJr/",,,,,,,,,,,,,,,,,,
"gue udh 2 minggu ini kok gak dpt studi ya? padahal tiap minggu udh ngisi polling","https://www.instagram.com/p/DQbLPJvkhJr/",,,,,,,,,,,,,,,,,,
"Thank you 😍❤️","https://www.instagram.com/p/DPLrG4lEtcP/",,,,,,,,,,,,,,,,,,
"LETS GO!","https://www.instagram.com/p/DQLcjepkuSY/",,,,,,,,,,,,,,,,,,
"🔥🔥🔥","https://www.instagram.com/p/DQLcjepkuSY/",,,,,,,,,,,,,,,,,,
"We Miss the popmart again populix! We want to see the new products there that we can exchange with our points. Please restock as soon as possible.","https://www.instagram.com/p/DPEFX8HkkN9/",,,,,,,,,,,,,,,,,,
"Populix lagi down ya servernya","https://www.instagram.com/p/DN5QJ7Pkhki/",,,,,,,,,,,,,,,,,,
"Kenapa saya tidak bisa upload ktp ya ? Untuk update profile","https://www.instagram.com/p/DN5QJ7Pkhki/",,,,,,,,,,,,,,,,,,
"min kenapa CS nya gaprnh respon ya, ? Apa ganti nomer WA?","https://www.instagram.com/p/DNxjgD9ZDUh/",,,,,,,,,,,,,,,,,,
"Kembalikan popmart","https://www.instagram.com/p/DOLVVpGEv1H/",,,,,,,,,,,,,,,,,,
"Sukses selalu","https://www.instagram.com/p/DOGIEwnkkYo/",,,,,,,,,,,,,,,,,,
"🔥","https://www.instagram.com/p/DOGIEwnkkYo/",,,,,,,,,,,,,,,,,,
"Pengumuman pemenangnya kapan ? Ini sdh 24 Juni","https://www.instagram.com/p/DKbSBPQvTh3/",,,,,,,,,,,,,,,,,,
"Selamat siang min
Ijin menanyakan untuk hasilnya akan diumumkan kapan ya?","https://www.instagram.com/p/DKbSBPQvTh3/",,,,,,,,,,,,,,,,,,
"Izin nanya, yang gak lolos penjurian tahap 1 tetap diberitahu. Atau yang lolos tahap 1 saja di beritahu kaa.","https://www.instagram.com/p/DKbSBPQvTh3/",,,,,,,,,,,,,,,,,,
"Rata2 postingannya English semua, apalah dayaku 😂","https://www.instagram.com/p/DOIwffSErTR/",,,,,,,,,,,,,,,,,,
"halo kak, tolong baca dm saya ya, terima kasih🤗","https://www.instagram.com/p/DKMNop7zMlq/",,,,,,,,,,,,,,,,,,
"👏👏👏","https://www.instagram.com/p/DDg8AEiT1-y/",,,,,,,,,,,,,,,,,,
